Season,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC,RC,GW,PG,PA,Goals Per 90 ,Assists Per 90,Points Per 90,Yellow Cards Per 90
2019,"Moore, Nick",18,18,1211,4,4,12,39,0.103,15,0.385,2,0,0,0,1,0.297,0.297,0.892,0.149
2019,"Bajek, Chris",18,18,1043,4,1,9,31,0.129,14,0.452,0,0,2,0,0,0.345,0.086,0.777,0.000
2019,"Krom, Floyd",18,8,749,3,2,8,21,0.143,10,0.476,3,0,2,0,0,0.360,0.240,0.961,0.360
2019,"An, Webster",18,11,1053,2,2,6,13,0.154,8,0.615,0,0,1,0,0,0.171,0.171,0.513,0.000
2019,"Orser, Will",18,18,1711,3,0,6,13,0.231,7,0.538,1,0,0,2,2,0.158,0.000,0.316,0.053
2019,"Starks, Max",16,0,604,2,2,6,17,0.118,9,0.529,0,0,0,0,0,0.298,0.298,0.894,0.000
2019,"Muller, Jack",18,18,1499,1,3,5,14,0.071,5,0.357,3,0,1,0,0,0.060,0.180,0.300,0.180
2019,"Foster, Alex",14,0,231,2,0,4,4,0.500,4,1.000,0,0,0,0,0,0.779,0.000,1.558,0.000
2019,"Peak, Danny",18,12,1000,1,1,3,22,0.045,10,0.455,0,0,1,0,0,0.090,0.090,0.270,0.000
2019,"Dono, Thomas",8,0,165,1,0,2,4,0.250,3,0.750,1,0,0,0,0,0.545,0.000,1.091,0.545
2019,"Frankovsky, Quinn",14,11,1003,0,2,2,4,0.000,1,0.250,2,0,0,0,0,0.000,0.179,0.179,0.179
2019,"Stern, Joey",11,0,148,1,0,2,4,0.250,2,0.500,1,0,0,0,0,0.608,0.000,1.216,0.608
2019,"Anwar, Omar",15,13,1041,0,1,1,6,0.000,0,0.000,2,0,0,0,0,0.000,0.086,0.086,0.173
2019,"Chenevert, Etienne",18,18,1645,0,1,1,10,0.000,6,0.600,1,0,0,0,0,0.000,0.055,0.055,0.055
2019,"Anigbogu, Chiagoziem",12,4,321,0,0,0,2,0.000,1,0.500,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Davies, Ryan",1,0,5,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Ehrsam, Tom",6,3,411,0,0,0,2,0.000,1,0.500,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Fair, Sabri",4,0,31,0,0,0,1,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Fink, Cade",17,17,1627,0,0,0,0,0.000,0,0.000,1,0,0,0,0,0.000,0.000,0.000,0.055
2019,"Fuselier, Nick",10,1,127,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Kastilahn, Mitchell",1,1,90,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Keefe, Aidan",2,0,15,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Nsereko, Theo",18,9,721,0,0,0,16,0.000,7,0.438,0,0,0,0,1,0.000,0.000,0.000,0.000
2019,"Parham, Charlie",2,0,35,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Shah, Rohit",15,0,313,0,0,0,3,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2019,"Wagner, Ben",18,0,479,0,0,0,8,0.000,4,0.500,1,0,0,0,0,0.000,0.000,0.000,0.188
2019,"White, Jackson",18,18,1708,0,0,0,2,0.000,1,0.500,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Smith, Clayton",19,19,1027,7,0,14,27,0.259,10,0.370,1,0,2,0,0,0.613,0.000,1.227,0.088
2018,"Benhamida, Jamel",18,16,1240,4,2,10,28,0.143,14,0.500,2,0,3,3,3,0.290,0.145,0.726,0.145
2018,"Harper, Logan",20,19,1473,4,2,10,21,0.190,12,0.571,2,0,2,1,1,0.244,0.122,0.611,0.122
2018,"Krom, Floyd",20,15,818,4,1,9,27,0.148,16,0.593,5,0,2,0,0,0.440,0.110,0.990,0.550
2018,"Wagner, Ben",20,2,704,3,1,7,19,0.158,8,0.421,1,0,1,0,0,0.384,0.128,0.895,0.128
2018,"Moore, Nick",20,15,947,1,4,6,32,0.031,12,0.375,1,0,0,0,0,0.095,0.380,0.570,0.095
2018,"Bajek, Chris",20,5,1041,2,0,4,15,0.133,7,0.467,1,0,0,0,0,0.173,0.000,0.346,0.086
2018,"An, Webster",20,10,1067,1,1,3,13,0.077,6,0.462,0,0,0,0,0,0.084,0.084,0.253,0.000
2018,"Anigbogu, Robert",20,6,666,1,1,3,12,0.083,3,0.250,1,0,1,0,0,0.135,0.135,0.405,0.135
2018,"Kent, Max",18,18,1526,1,1,3,16,0.063,6,0.375,1,0,0,1,1,0.059,0.059,0.177,0.059
2018,"Anwar, Omar",19,14,872,1,0,2,10,0.100,4,0.400,3,0,0,0,0,0.103,0.000,0.206,0.310
2018,"Chenevert, Etienne",12,0,312,1,0,2,4,0.250,2,0.500,0,0,0,0,0,0.288,0.000,0.577,0.000
2018,"Foster, Alex",6,0,175,0,1,1,3,0.000,1,0.333,0,0,0,0,0,0.000,0.514,0.514,0.000
2018,"Nsereko, Theo",13,2,444,0,1,1,8,0.000,5,0.625,0,0,0,0,0,0.000,0.203,0.203,0.000
2018,"Orser, Will",18,17,1520,0,1,1,2,0.000,0,0.000,4,0,0,0,0,0.000,0.059,0.059,0.237
2018,"Ehrsam, Tom",12,1,403,0,0,0,2,0.000,2,1.000,1,0,0,0,0,0.000,0.000,0.000,0.223
2018,"Fair, Sabri",1,0,70,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Fuselier, Nick",3,0,74,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Holan, Jared",18,1,548,0,0,0,4,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Kastilahn, Mitchell",2,1,82,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Keefe, Aidan",5,0,20,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Kofman, Seth",18,10,939,0,0,0,13,0.000,2,0.154,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Muller, Jack",6,1,188,0,0,0,4,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Peak, Danny",20,7,941,0,0,0,13,0.000,4,0.308,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Shah, Rohit",7,0,172,0,0,0,3,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
2018,"Starks, Max",5,0,140,0,0,0,1,0.000,0,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000
